"name";"sku";"stock";"regular_price";"product_status";"images"
"CONJUNTO BANHADO A OURO 18K COM SODALITA";"8880565BRILHO";"2";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8880565BRILHO-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8880565BRILHOB-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8880565BRILHOA-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM AGATA VERDE";"8881568";"2";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8881568-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8881568A-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8881568B-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM QUARTZO ROSA";"8882457";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8882457-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8882457A-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM MOSAICO MADREPÉROLA";"8882463";"3";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8882463-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8882463A-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM QUARTZO ROSA";"8882466";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8882466A-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8882466B-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8882466-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM MADREPÉROLA";"8882468";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8882468-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8882468A-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM AGATA AZUL CÉU";"8883561";"2";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8883561A-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8883561-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM AGATA VERMELHA";"8883586M";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8883586C-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8883586M-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM TURMALINA NEGRA";"8885515";"2";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8885515A-min.jpg | https://lobitypi.sirv.com/store_images/possebon/8885515-min.jpg"
"BRINCO BANHADO A OURO 18K COM PÉROLA SHELL";"8886980";"-4";"999.99";"draft";"https://lobitypi.sirv.com/store_images/possebon/8886980-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM AGATA PRETA";"8889877PTO";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/possebon/8889877PTO-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM TANZANITA ROXA FUSION";"9992474";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992474-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM CRISTAL LIGHT BLUE FUSION";"9992475";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992475-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM CRISTAL LIGHT BLUE FUSION";"9992476";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992476-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM CRISTAL LIGHT BLUE FUSION";"9992477";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992477-min.jpg"
"CONJUNTO BANHADO A RÓDIO NEGRO E CRISTAL FUSION FUCSIA";"9992488";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992488-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM TANZANITA AZUL FUSION";"9992489";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992489-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM ZIRCONIA";"9992490";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992490-min.jpg"
"CONJUNTO BANHADO A OURO 18K COM MIX CRISTAIS FUSION";"9992491";"1";"0";"draft";"https://lobitypi.sirv.com/store_images/redentora/9992491-min.jpg"
